2015,0,Deute públic
2015,1,Funcionament institucional i administració general
2015,2,Serveis públics generals
2015,3,Protecció i promoció social
2015,4,Producció de béns públics de caràcter social
2015,5,Producció de béns públics de caràcter econòmic
2015,7,Foment i regulació de sectors productius
2015,8,Fons de contingència
2015,9,Suport financer a altres administracions públiques
2015,01,Deute públic
2015,11,Alta direcció de la Comunitat Autònoma i Govern
2015,12,Administració i serveis generals
2015,13,Relacions institucionals i processos electorals
2015,14,Regulació econòmica
2015,15,"Transparència, comunicació i participació"
2015,21,Justícia
2015,22,Seguretat i protecció civil
2015,23,Relacions exteriors i cooperació al desenvolupament
2015,31,Protecció social
2015,32,Promoció social
2015,41,Salut
2015,42,Educació
2015,43,Habitatge i urbanisme
2015,44,Consum
2015,45,Cultura
2015,46,Esports
2015,51,Infraestructures bàsiques i transports
2015,52,Transport
2015,53,Ordenació del territori i urbanisme
2015,54,"Recerca científica, tècnica i aplicada"
2015,55,Societat de la informació i el coneix. i telecom.
2015,56,Clicle de l'aigua
2015,57,Actuacions ambientals
2015,58,Infraestructures agràries i rurals
2015,59,Altres actuacions de caràcter econòmic
2015,71,"Agricultura, ramaderia i pesca"
2015,72,Indústria
2015,73,Energia
2015,75,Turisme
2015,76,Comerç
2015,81,Fons de contingència
2015,91,Suport financer administracions públiques territo
2015,011,Deute públic
2015,111,Alta direcció de la Comunitat Autònoma
2015,121,Serveis generals i funció pública
2015,126,Altres serveis generals
2015,131,Relacions institucionals
2015,132,Processos electorals
2015,141,Política econòmica i pressupostària
2015,151,"Transparència, comunicació i participació"
2015,211,Actuacions en matèria de justícia
2015,222,Seguretat i ordre públic
2015,223,Protecció civil
2015,231,Relacions exteriors
2015,232,Cooperació internacional
2015,313,Serveis socials
2015,314,Pensions i altres prestacions econòmiques
2015,322,Promoció de l'ocupació
2015,323,Promoció sociocultural
2015,324,Relacions laborals
2015,411,Administració general de salut
2015,413,Accions públiques relatives a la salut
2015,421,Administració general d'educació
2015,422,Ensenyament
2015,423,Promoció educativa
2015,431,Habitatge
2015,441,"Ordenació, control i informació sobre el consum"
2015,451,Administració general de cultura
2015,455,Promoció cultural
2015,461,Esports
2015,511,Administració general infraestr.bàsiques i transp.
2015,521,Transport terrestre
2015,522,Transport marítim i aeri
2015,531,Ordenació del territori
2015,541,Recerca i documentació científica
2015,542,Recerca tècnica i aplicada
2015,551,Societat de la informació i el coneix. i telecom.
2015,561,Recursos hidràulics
2015,562,Sanejament i abastament d'aigües
2015,571,Protecció i conservació del medi natural
2015,572,Prevenció i control ambiental
2015,581,Infraestructures per al desenvolupament rural
